src,tgt,lag,sign
44,55,1,-1
62,55,1,-1
59,55,1,-1
7,55,1,-1
12,56,1,1
45,56,1,1
14,56,1,1
26,56,1,1
7,57,1,1
88,58,1,1
41,58,1,1
82,58,1,1
71,58,1,-1
52,58,1,-1
63,58,1,1
61,58,1,1
35,58,1,1
7,58,1,-1
72,58,1,-1
49,59,1,1
19,59,1,1
46,60,1,1
89,60,1,-1
5,60,1,1
73,60,1,1
3,60,1,-1
82,61,1,1
47,61,1,1
72,61,1,1
52,61,1,1
76,62,1,-1
61,63,1,-1
50,63,1,-1
72,63,1,1
82,63,1,1
53,65,1,1
31,65,1,1
69,66,1,-1
41,66,1,1
52,66,1,1
7,66,1,1
49,67,1,1
26,68,1,-1
43,68,1,1
65,68,1,1
11,69,1,1
49,69,1,1
63,69,1,1
48,69,1,1
30,69,1,-1
59,69,1,-1
80,69,1,-1
29,69,1,1
65,70,1,1
7,70,1,1
50,70,1,1
86,71,1,-1
53,71,1,-1
7,71,1,1
74,71,1,1
31,71,1,-1
65,71,1,-1
52,72,1,1
12,73,1,1
46,73,1,-1
82,74,1,-1
72,74,1,-1
52,74,1,1
53,75,1,-1
16,75,1,-1
71,75,1,-1
96,75,1,-1
7,75,1,-1
48,77,1,-1
32,77,1,1
7,77,1,-1
45,78,1,-1
12,78,1,1
43,79,1,-1
14,79,1,-1
31,79,1,1
53,79,1,1
88,79,1,-1
59,80,1,1
48,80,1,1
7,80,1,-1
49,80,1,1
19,80,1,-1
50,81,1,1
7,81,1,1
80,81,1,-1
72,82,1,1
52,82,1,1
52,83,1,-1
72,83,1,1
5,84,1,-1
73,84,1,-1
30,84,1,1
99,84,1,1
46,84,1,-1
7,85,1,-1
80,85,1,-1
49,85,1,-1
74,86,1,-1
82,87,1,1
21,87,1,-1
52,87,1,-1
49,88,1,1
48,88,1,1
31,88,1,1
35,88,1,1
53,88,1,-1
18,89,1,-1
12,89,1,-1
46,89,1,-1
45,89,1,1
26,89,1,1
20,89,1,-1
7,89,1,-1
30,89,1,1
14,89,1,1
54,90,1,-1
61,90,1,-1
41,90,1,1
82,90,1,1
52,90,1,-1
14,91,1,-1
64,91,1,-1
10,91,1,1
50,91,1,1
14,92,1,1
91,92,1,1
39,92,1,1
84,92,1,1
46,92,1,1
26,92,1,1
80,93,1,-1
85,93,1,1
5,93,1,1
49,93,1,-1
26,94,1,1
91,94,1,1
46,94,1,-1
39,94,1,1
84,94,1,-1
74,95,1,1
53,96,1,1
65,96,1,1
31,96,1,-1
7,96,1,-1
42,97,1,1
1,97,1,1
12,97,1,1
4,97,1,1
45,97,1,-1
10,97,1,-1
92,98,1,-1
94,98,1,-1
14,98,1,1
99,98,1,-1
51,98,1,1
7,98,1,1
91,99,1,1
26,99,1,1
46,99,1,-1
39,99,1,-1
14,99,1,-1
