ch0,ch1,ch2,ch3,ch4
-2.5862,-0.52028,-1.7277,3.3495,2.5505
-1.0385,0.67968,-0.49755,1.1315,0.13463
0.4093,-0.2078,-1.1238,-1.7587,0.17735
-1.6145,1.814,2.5225,-5.5344,-1.9358
-1.1711,1.479,4.127,0.88085,0.81088
1.3807,1.8866,4.2006,-1.1782,1.489
1.1628,1.377,1.6296,0.23334,-1.4062
4.3532,2.2141,0.44978,-2.7305,-1.5433
5.8253,4.3615,0.82161,-1.0585,1.2703
3.9514,3.8882,4.33,-0.25795,0.85756
4.5579,1.5503,0.067574,-2.5644,-0.96529
-0.2992,2.0524,-3.2422,-1.1076,0.17765
-3.4376,0.99713,-3.1491,-0.39972,-0.87073
-1.7726,2.6891,-1.2552,-1.1395,1.666
1.5828,-0.16808,-1.1935,1.719,-1.6648
1.4348,-3.4146,-3.2339,0.43607,2.4623
-1.4162,-4.2058,-1.1381,0.34904,1.65
-2.259,-3.5069,1.9827,0.35024,-2.0305
-1.4542,-2.1904,-3.1382,-2.501,-3.6463
-1.9469,-0.58452,-1.0071,0.10659,-1.707
-1.1939,-1.2854,0.81058,0.30788,2.7986
4.0308,-0.84509,-1.6823,-2.0411,-1.3724
4.4975,3.1378,-0.42335,0.56171,-2.6059
0.54918,5.2761,0.28114,-0.89217,-0.20948
0.51692,3.4138,-0.85314,-1.6637,-0.044341
-2.771,-2.2338,-2.7622,3.8115,-0.33756
-2.9375,-4.1807,-1.7295,4.4453,-0.39644
-0.51932,-3.6331,-0.87975,1.8371,-0.50137
-1.9685,-0.7704,4.1391,2.5584,2.7003
-1.3793,-0.2714,2.9607,2.7586,4.6228
-1.1189,0.91835,-1.6539,-1.5601,-3.1607
0.33381,0.32109,-0.088048,-2.0655,-2.4785
0.021612,-1.6115,-0.93355,-3.452,-2.4339
0.2177,-1.6444,0.56877,-1.1665,-0.74381
0.4859,-0.78056,-0.45608,1.19,2.6234
-0.042204,-1.5044,0.35529,0.51128,0.16065
0.32505,0.30339,-0.26893,1.7669,0.4185
0.33991,1.8365,0.6029,3.2217,7.5942
-1.0192,-0.61429,-1.1344,0.31977,1.7397
0.82488,-1.8509,1.7254,-2.171,-3.7202
2.5968,-0.92024,4.6334,-0.42054,-0.74291
3.744,2.72,2.8151,-1.8625,5.2111
4.0318,1.9494,1.778,-0.90611,1.5732
4.422,2.2534,2.1513,0.11011,-1.9746
1.8407,1.8616,-1.7796,-3.2651,-0.1429
-1.1677,1.3787,-1.8618,0.37331,-0.10819
-4.708,-0.86939,2.5465,2.7501,-0.41046
-4.893,-0.94184,5.1463,2.7329,-0.18787
-2.9701,2.8697,2.1785,0.35596,-2.8884
-2.0839,2.4563,-2.4148,1.8059,0.045925
0.44519,-0.92921,-5.2225,-2.1412,-2.4267
1.6859,-2.5805,-2.5203,-2.7976,-2.8533
-2.0124,-2.4387,-1.3677,-0.91078,0.26169
-2.6439,-1.8533,-1.0548,4.2088,4.1408
3.5283,3.7547,-2.2087,1.3693,3.8238
0.81181,1.5093,0.050874,1.6065,2.6779
-2.5414,-2.3677,-3.3295,1.2623,-0.54699
1.3418,-2.8253,-0.35679,-5.6218,-6.1587
-0.59199,-2.4321,1.4104,-3.2441,-3.6302
-2.3725,-0.58904,-0.25706,-2.6116,2.9632
-2.6678,0.85756,-0.7863,-2.799,-2.5032
-0.86241,5.897,2.6811,0.86771,-3.7342
0.70966,0.16948,1.0201,3.4274,1.6396
1.1278,-2.916,-1.1443,2.5875,2.0332
3.5442,-2.7273,4.1799,3.6541,0.073853
2.3783,-1.756,0.33336,2.0743,0.82155
-2.3066,0.088481,-1.8042,-3.9607,-3.6584
-1.9206,-1.9356,-1.4296,-3.1379,-1.0506
3.3765,1.0857,1.2319,-2.633,1.8187
2.3189,0.7908,0.23507,0.12869,3.0449
-3.1722,0.0045622,2.7119,2.6796,-3.0421
1.4301,1.2201,1.0245,2.0637,3.2844
4.8712,1.9455,-1.9128,3.2559,4.053
1.3035,0.48911,-0.40256,1.0884,1.7056
-3.0636,-1.5094,-1.9891,0.63267,-0.053229
-2.5271,-0.15388,0.54414,-3.6744,-3.154
0.34485,-1.3608,-0.82392,-0.88807,-3.2778
-1.8941,3.0189,-2.2439,-1.6303,-0.48871
-1.0741,3.1374,1.1147,-0.87343,-2.7873
1.2232,2.0914,1.3066,-0.46453,0.94599
3.1833,0.38828,-2.1068,-1.3029,5.5878
-1.7995,-2.9229,-0.39609,-0.77841,2.6165
-2.4445,-4.4505,-2.0224,-0.84114,-2.8581
2.2212,-2.6864,0.26959,-0.2012,1.8398
4.4028,1.3931,0.9167,2.2909,5.5313
0.098298,-2.1941,1.0285,1.6508,0.8829
-3.6589,-0.40779,0.78983,0.8946,-0.83776
-1.7096,2.8101,0.07348,0.27314,-4.3788
2.4794,2.0636,2.3944,2.4675,-1.9761
4.9628,1.1765,0.93767,3.2984,3.9703
-1.4275,-1.4983,-0.9081,1.7158,1.2576
-3.7483,-0.49903,1.2608,3.8354,-4.2286
0.68759,-0.24021,0.37288,1.0087,-2.6946
0.41097,-0.30539,3.0762,-0.25437,-0.56952
-2.8517,-1.2311,-0.041473,-3.2363,-2.3858
-0.20443,-0.62307,-1.3561,-3.9306,-2.1499
-0.67042,0.57653,-1.2751,-0.85702,2.2513
2.7636,2.0426,0.13396,1.7407,2.8865
-1.1888,-0.6188,-0.30121,0.031635,-0.33999
-3.1436,-2.3328,1.2764,3.283,-0.30539
0.028465,-2.0389,2.0684,3.7942,1.6848
1.9995,0.89808,1.2265,0.26081,2.9583
-0.62274,0.24032,-0.89253,-4.2708,0.92786
-0.38887,-0.92919,-4.2567,-5.1519,-0.051925
1.7094,-0.90292,1.2928,-1.0525,-1.6402
6.5512,2.6965,4.6637,1.2924,-0.14275
3.234,3.2424,3.6684,-0.29724,1.0545
1.6952,0.82347,1.2291,1.8401,1.1623
-2.3997,-2.0535,-1.6041,-3.3601,-4.5909
-5.4737,-1.7678,-6.6942,2.4858,-1.8015
-4.9465,-1.828,-6.2673,-0.81656,0.44465
-1.6878,-0.094461,2.6091,-2.7762,0.189
-0.49871,-0.33339,-2.1402,-3.0124,-4.7958
-1.0101,1.5634,-3.9864,-1.9477,-1.2102
-2.542,-0.3303,-0.92707,-2.3656,-0.5379
-0.61877,0.78026,-0.47123,-0.30489,0.19934
1.0448,0.57005,0.45903,2.2251,0.98084
0.72306,0.095784,3.6374,5.2005,2.9588
-2.067,-0.20406,-0.10082,2.0592,1.5155
0.95504,1.5365,-3.3282,2.557,0.99331
0.41035,2.1074,0.44255,1.0293,0.13283
0.54317,-0.28457,3.1804,-2.6805,-0.052288
-0.64688,0.16728,0.14763,-4.5964,-1.2437
0.12327,1.0558,-6.2711,-1.0872,-2.1237
4.0455,2.0498,0.060455,0.41008,4.0275
6.1619,2.7938,1.1737,0.25147,3.5485
1.2654,1.2058,0.42461,-2.3257,-0.65986
4.0232,1.4433,-1.1454,-3.9001,3.2243
-1.3817,-1.2808,-0.34174,-0.61821,1.1898
-2.8678,-2.6751,-0.754,2.1316,-0.98223
-2.3059,-1.8729,4.8035,0.16574,-2.7014
-1.5856,2.2047,1.0469,-0.59007,-1.6784
-0.94156,1.9437,-1.0402,4.3559,1.1069
-1.9565,1.2457,-0.32235,1.2058,-1.1885
0.2875,1.4081,0.97328,-2.1002,-2.1695
0.62988,2.7074,2.9181,-0.63836,-0.39283
2.6637,0.97823,3.9701,0.36435,1.6111
0.60761,-2.4977,-1.5003,2.5666,0.42239
0.30519,-5.2437,-0.14792,-1.342,-0.81054
0.15972,-4.5213,-1.6798,-0.92059,1.6262
-0.4337,-2.6164,2.2391,-1.8317,3.5414
-0.6517,0.21366,0.76062,-0.68279,-1.3047
3.3319,-0.064808,4.3728,1.2553,1.6039
0.34028,-3.9397,2.2173,0.27838,-3.6701
-2.6536,-3.9426,-2.239,0.58269,-2.9078
-0.68939,1.8807,-1.7223,-0.70964,2.1464
1.1427,1.3362,-0.61894,1.0587,-1.875
-1.5297,-0.30307,-1.5306,4.614,-1.955
0.86884,-2.8326,-2.1655,4.2319,1.7054
0.7116,-1.085,-0.7608,3.194,1.81
0.45177,-0.64039,0.37971,1.5991,-1.493
2.5639,1.9703,1.3139,-2.928,-1.7659
2.8293,3.3534,3.7006,1.528,1.708
2.1448,1.2931,5.7087,3.0442,2.716
-2.7162,-3.1781,-0.12098,0.15045,0.56822
-2.721,1.651,1.1713,0.60192,3.4162
2.8981,5.0983,-0.73384,0.029552,2.8127
1.0915,4.0132,-3.2904,-1.7662,-4.9995
-3.294,2.3501,-5.204,-2.5338,-4.725
-1.6538,-4.9652,-3.7278,-2.8006,0.32667
-0.91934,-1.731,-3.2443,-0.70214,-1.3497
0.13031,-1.3988,-1.7056,-0.63992,-0.99981
4.8598,1.4964,-0.44854,3.8673,2.6213
-0.22507,-0.67186,-1.7846,3.1247,3.4723
-5.8362,-3.0968,3.1936,1.2294,3.7012
-1.3964,-0.7725,1.5552,1.7453,3.5339
-1.1194,3.231,0.65398,-1.9899,-0.31234
1.1109,4.7954,0.97376,-2.469,-6.4776
3.9553,4.1943,-0.74216,-3.8826,0.41827
1.4466,-0.37747,0.96236,-1.6881,1.783
-4.249,-3.0679,-0.88925,-3.4995,-2.0751
-4.0041,-3.5806,-3.2992,-3.018,-8.4439
-2.1383,-2.1793,-2.1457,-1.9172,-4.0897
1.0,-2.6511,-1.2303,-1.6307,-0.98
0.42704,1.0725,-0.75434,-0.41242,-0.83505
-2.1643,-1.6502,-0.93295,-1.874,3.7358
-1.0913,0.82085,1.9994,1.4241,4.1561
0.9955,-0.79218,1.844,3.8204,2.8227
3.4417,4.7356,5.0059,3.9694,-0.28233
3.5089,2.3678,5.9389,1.5567,-1.9434
1.4056,-0.9978,0.58705,-0.0013845,0.99847
-5.6075,-3.6363,-1.703,-0.8851,-3.4233
-3.4573,-1.7426,-3.7098,-1.6498,-2.2566
-0.092647,-2.4481,0.49902,-0.72921,-0.76352
0.47265,2.7441,-0.85006,-0.7699,-0.27651
-2.1961,3.8489,3.3317,5.5522,-0.32475
-0.23683,0.21271,1.6429,3.2123,3.6176
2.4015,-1.6533,-2.6402,-1.7849,2.59
5.275,-0.98643,2.089,-0.95695,0.45312
-2.1582,0.0082095,1.9543,-1.7367,1.9832
2.2324,-0.19727,2.0744,0.28616,0.816
4.1421,1.6153,-3.3369,-3.3777,2.4734
2.111,2.3771,-2.8586,-3.1143,-0.61085
1.3238,2.2483,0.0042003,1.1078,0.10064
0.18345,2.4843,2.5111,3.6222,0.98261
1.9059,1.5433,0.76942,4.1217,1.4662
-4.0345,3.4074,-2.8804,1.4024,0.74442
-7.2403,-0.42336,-4.683,-3.1045,-1.2042
-1.8933,-0.097978,-2.359,-3.1615,-4.3121
-0.31012,-0.13183,-0.87797,-3.1861,-2.2094
-2.1179,-1.0088,0.012331,-1.8317,-1.8753
-2.4977,-2.6769,0.26813,-1.2866,0.6194
-1.879,1.5692,2.2931,0.11417,3.764
0.97168,-0.61782,3.0697,1.8886,3.0531
1.7827,-4.0766,3.7596,1.4564,-3.6378
1.5831,-0.39245,-0.21364,0.91425,0.2204
0.19707,-3.0643,-1.0546,-0.85199,3.1297
4.0633,-3.1656,-4.0245,-3.0622,-0.034371
5.3578,-0.65382,-2.4211,-0.87606,1.5728
4.1024,0.14004,1.2924,1.5844,2.78
1.839,-0.66509,0.28598,0.035666,0.82599
0.79729,-1.7954,-5.0319,1.594,-3.706
-3.5744,-3.3105,-3.1893,-1.8321,0.14431
-3.3983,-1.5516,-1.2249,-0.96734,0.10893
-3.0141,-1.0351,0.06491,-1.5339,-5.7447
1.8421,0.70691,0.22695,0.39438,-3.3854
1.3693,1.3381,0.685,2.8473,-1.4616
-1.8363,0.6945,2.2452,0.71833,-3.7211
0.31079,1.5395,1.3855,0.68714,0.14545
-0.43948,-0.65244,-0.16464,0.17191,1.9283
0.38651,0.40362,3.5909,3.0779,2.1561
4.0942,0.95451,3.9041,0.1382,0.44453
4.7101,3.1506,-0.62296,-0.53443,-1.2053
0.15318,3.2722,-1.997,1.7431,-0.56667
-0.38097,4.691,2.9035,5.196,1.505
-2.0235,0.85162,0.37507,2.3232,3.0423
-2.2874,-0.72479,-1.0341,0.57311,4.7083
-3.5547,-1.053,0.52183,2.4275,3.0226
-1.9059,-1.4857,0.12757,3.6805,0.84
-1.093,0.07921,3.1723,3.34,-0.3326
-2.5245,0.68822,1.8744,0.3913,3.6265
0.67497,0.27409,-2.8273,-4.4479,-5.1
-0.41518,0.35729,-1.4499,-4.9832,-4.5736
-0.19646,-0.42972,3.0145,-2.3844,0.53042
0.2068,4.2736,0.66176,-0.71032,2.7589
-0.16942,3.5889,1.5166,-2.3175,0.10745
-0.23307,1.9316,1.6266,1.3139,-4.3428
0.66999,-1.7841,-2.5046,3.6227,0.91086
0.73358,-2.545,-2.1802,1.1645,1.1315
0.61426,-3.3871,-1.373,-0.91775,-1.1678
0.34266,-1.7598,-1.1772,-4.4829,-1.2125
3.493,-2.6793,-1.1607,-5.0094,-1.6239
5.865,1.6958,4.7203,-1.619,1.9361
5.335,-0.29672,3.6151,1.6744,2.3492
1.73,1.3632,4.3409,-1.7446,1.4975
-0.21385,1.6126,1.651,-1.5576,0.15536
-4.0548,0.44722,-4.0424,-4.731,-3.8001
-4.4651,-3.5788,-5.1727,-2.3796,-3.5289
-2.1182,-0.66516,-1.0104,0.91382,0.82119
-1.1535,-1.436,0.46323,3.6026,1.5759
-1.1927,-0.98965,-3.8232,1.6429,1.4502
1.1798,-0.42906,-1.3827,-1.6929,-2.3293
-3.2013,3.5861,-0.52974,-1.7549,-2.2567
-2.316,2.7045,0.35215,2.3302,2.7143
2.8293,-0.30928,-0.85799,0.24085,1.3183
0.87141,-1.636,-1.7758,0.2243,-2.8969
-1.4579,-3.0557,1.0281,0.26819,3.2251
-0.68412,-1.2871,0.48435,1.5102,1.1704
1.2486,-3.3838,-1.0659,-0.7585,2.177
-4.505,-1.8938,0.13017,1.0267,3.1434
-0.93005,-2.2961,-1.0486,0.24116,-2.5404
-1.4802,2.7382,1.529,-0.10349,-3.3057
0.14384,4.3279,2.2497,2.6868,-0.14616
1.581,-0.90273,5.5705,1.6395,2.5281
3.4644,0.68826,5.1147,2.9729,-1.135
3.0547,1.0585,1.3099,0.59054,1.4325
-2.5291,-0.6598,-2.282,-1.1363,3.426
0.34313,0.29108,-0.88087,0.20728,-0.08146
3.284,3.8395,2.6354,1.7986,0.69781
0.38228,2.3882,0.25401,1.0465,0.59805
-2.9298,0.41232,0.67437,2.1415,-1.5761
1.8063,-2.275,-1.0359,0.49069,-0.14094
2.9569,-0.097989,-3.3773,-3.7809,-1.0135
1.0612,-2.2335,-6.632,-2.4909,-2.9963
-3.6711,-3.3439,-7.0008,-1.0284,-3.5211
-2.9733,-0.06949,-2.0248,-2.6742,-0.91221
-0.52731,1.3544,-1.9239,-1.3466,-0.49155
-1.7184,-0.6188,-3.3106,-0.98771,-2.0926
-0.065294,-2.0265,-0.15341,-0.083064,-1.3334
0.15831,-0.52818,-0.5668,1.0024,-2.1896
-0.74101,-0.65636,2.0751,1.353,0.56305
2.5947,-1.1279,1.5934,1.3324,-0.51798
0.49195,0.0041832,-2.8116,-1.6448,-0.35967
-0.1053,0.7839,-1.6596,-1.9074,4.5676
-0.45788,-1.1345,2.6733,0.64939,0.54409
0.36671,2.9323,-0.52593,-1.1875,-1.9603
4.5732,1.2027,-3.728,-1.25,2.1505
6.3209,3.8151,-1.0007,1.1765,3.3277
3.4325,1.9178,-0.12614,0.7528,1.321
2.0401,2.6743,1.5562,-0.29966,-0.21811
1.4973,2.7609,7.7208,3.8349,1.4124
-0.26067,0.43603,7.9281,1.529,0.9784
-4.7481,-1.3265,-5.0319,-0.10195,-2.0861
-4.8901,-0.91206,-0.72208,0.10829,0.21723
-3.5713,0.88239,2.2092,-0.28607,2.2934
-1.7678,3.6984,2.7416,-0.67231,2.3996
-2.2224,3.2075,-0.095935,-0.86122,-1.917
-2.6509,-1.3528,-2.4164,-1.9602,-2.9534
-0.7375,-5.6844,0.96845,0.648,-1.758
-2.582,1.0282,1.5667,2.7932,-0.74378
-1.8847,1.8536,1.4163,0.95553,-0.74465
0.42623,-1.4696,0.85614,-1.0067,-1.8743
3.1017,-5.4267,2.0934,6.1581,3.4303
5.239,-0.92664,5.4317,6.4033,4.8434
4.0577,0.69973,3.3289,2.775,3.1455
-0.15794,-1.5238,-3.6103,0.75533,-1.3573
0.81312,-0.72591,-1.7521,0.1999,4.7278
2.3156,1.1224,2.7942,0.59182,3.3085
-2.7559,-1.5377,4.9955,-3.5166,-1.8754
-0.77753,0.56842,-2.7245,-6.3647,-8.5535
-1.484,2.7699,-2.3207,-2.5027,-5.4667
-1.2403,0.82689,-1.3605,-3.8653,1.0071
1.692,-1.3179,2.4939,-3.2097,0.085201
3.7928,-1.5412,-2.0183,-2.7861,1.3327
-3.4797,-3.1284,-4.3565,-2.7817,2.9872
-5.2309,-2.7453,-4.5881,-3.6173,-3.5372
1.1604,-0.54397,-0.85869,-1.4905,-2.8421
1.8721,4.0221,2.2907,0.17005,0.37648
-0.2793,2.0564,0.65755,-0.94228,-3.1747
-5.7026,-1.7506,-1.6683,-1.853,-2.8485
-2.306,-0.036567,-0.98511,-0.14322,-0.8344
-1.2107,-0.10111,-1.6464,-0.28617,4.3195
0.36739,-3.291,-1.5407,4.7731,4.149
-0.4589,0.39051,1.1505,2.7933,-2.9448
0.28726,-1.2639,2.1817,1.7931,-2.1591
-1.1099,1.6622,1.7537,0.98728,-0.97688
4.1681,2.3695,1.1673,-0.43604,3.3174
3.3295,-2.9193,2.4187,2.2183,1.9848
-1.6632,-1.8765,-0.57749,-0.67276,-3.6773
-0.71469,0.23383,-3.1316,-2.7576,-0.5267
6.1046,2.0211,0.55823,-0.4244,2.4402
4.1831,3.9546,1.9367,1.1581,4.4476
-0.18559,-0.10022,-1.7163,2.0136,0.32098
-3.7081,-4.1313,-2.9022,-0.19902,-4.0811
-1.9816,-3.2782,-3.1011,-1.4172,-0.8839
0.77529,-1.1526,0.82568,-0.4286,1.6029
4.9859,-0.35817,-0.65302,2.3073,4.1018
-0.66306,2.2262,2.7857,3.0571,-1.395
-1.6901,4.2232,3.4646,1.0263,-2.5988
0.1443,-0.21799,-3.2572,0.14121,2.3544
0.53733,0.45859,-1.999,-0.11359,1.2131
1.0529,3.3607,-0.17859,0.27339,-0.32449
-0.76228,0.065011,-1.1148,-1.1268,-1.4562
0.029179,-3.5874,0.0087111,0.89316,1.3628
-1.8647,-1.662,0.34995,0.79911,2.7177
-0.64923,0.6505,3.0598,1.7734,3.3719
-0.49917,0.21193,0.73625,-0.098463,4.9892
2.0851,1.8157,-2.1929,1.6016,2.1502
4.0728,3.609,-0.81024,5.8042,1.1755
0.22116,5.2775,-1.2234,1.6365,-4.3932
-2.147,4.1982,4.8359,2.882,-3.2958
5.2359,2.0617,0.74636,2.6166,0.37915
4.4143,0.59081,-1.863,-0.69159,-0.19455
3.0311,-3.3127,2.5156,-0.82405,3.2749
0.20535,-1.7179,2.5531,-0.48288,0.54981
-5.5094,-4.8664,-3.0674,-4.7612,-2.5526
-5.415,-3.9044,-4.4826,-3.9654,-10.169
-3.3328,-2.4729,0.91112,-3.6888,-4.3528
-1.5985,-0.86696,0.95673,-2.6469,-0.61409
-0.73667,2.6135,-2.3718,-2.419,-0.65942
2.6226,3.2676,0.021287,-1.8037,2.1438
-1.8845,0.022121,0.51211,-2.2587,1.6188
-3.2496,-2.2235,-0.77792,-2.4235,-1.219
0.24397,2.4281,2.1444,-1.2611,-1.8485
1.9438,3.3602,5.3877,2.1325,0.00907
0.61131,-0.2566,1.1256,2.0258,0.69506
-1.0567,0.093226,-0.62306,1.3512,-1.9164
-4.2906,-0.58773,-3.4993,-0.066258,1.4471
-1.4354,-3.2879,-3.7464,1.2769,1.0551
-1.9818,-0.38593,-0.63811,2.4225,-3.7674
-2.0447,-2.1274,-1.7887,-1.3154,1.7344
0.68767,-0.31753,-2.3187,-0.96,-1.1917
1.7993,-2.2443,-0.6795,0.34614,0.52717
4.0837,-1.8814,0.7973,-2.6667,2.6612
4.8548,2.7842,0.024481,-1.2189,-0.55343
-1.8144,2.0911,2.6769,0.84666,1.2646
-3.6242,-1.0454,2.7578,2.5531,-0.28422
-2.4843,-3.4475,1.0073,-1.2174,-0.5692
2.1895,-1.6723,-2.7625,-0.84686,-0.017042
0.76143,2.2631,4.2399,1.6305,-0.11115
0.78845,2.8086,0.45221,-0.091217,6.5377
-0.84654,-2.2143,-3.8621,2.22,4.3182
-0.11763,-2.6374,-1.9895,1.2006,-0.9219
6.9033,1.2623,3.8489,1.8097,-0.83445
4.1519,1.0121,4.9215,1.4744,2.5668
-0.0021622,-0.73069,2.1829,-0.47605,-0.71698
3.3419,0.017461,-0.70605,-0.45309,0.81624
0.52525,1.4065,-2.3077,-1.7188,-1.5079
-0.16199,0.92153,-3.0994,-2.2691,-0.66751
